drug,indication,in_l1000_pool,ra_label
PH-797804,Osteoarthritis,True,reported RA investigation (not approved)
PH-797804,Pain,True,reported RA investigation (not approved)
PH-797804,"Pulmonary Disease, Chronic Obstructive",True,reported RA investigation (not approved)
S-ruxolitinib,Alopecia Areata,True,reported RA investigation (not approved)
S-ruxolitinib,Anemia,True,reported RA investigation (not approved)
S-ruxolitinib,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
S-ruxolitinib,Breast Neoplasms,True,reported RA investigation (not approved)
S-ruxolitinib,Bronchiolitis Obliterans,True,reported RA investigation (not approved)
S-ruxolitinib,Bronchiolitis Obliterans Syndrome,True,reported RA investigation (not approved)
S-ruxolitinib,Cachexia,True,reported RA investigation (not approved)
S-ruxolitinib,"Carcinoma, Non-Small-Cell Lung",True,reported RA investigation (not approved)
S-ruxolitinib,"Carcinoma, Pancreatic Ductal",True,reported RA investigation (not approved)
S-ruxolitinib,"Carcinoma, Squamous Cell",True,reported RA investigation (not approved)
S-ruxolitinib,Colorectal Neoplasms,True,reported RA investigation (not approved)
S-ruxolitinib,Dermatitis,True,reported RA investigation (not approved)
S-ruxolitinib,"Dermatitis, Atopic",True,reported RA investigation (not approved)
S-ruxolitinib,"Dermatitis, Seborrheic",True,reported RA investigation (not approved)
S-ruxolitinib,Eczema,True,reported RA investigation (not approved)
S-ruxolitinib,Glioblastoma,True,reported RA investigation (not approved)
S-ruxolitinib,Graft vs Host Disease,True,reported RA investigation (not approved)
S-ruxolitinib,HIV Infections,True,reported RA investigation (not approved)
S-ruxolitinib,Hematologic Neoplasms,True,reported RA investigation (not approved)
S-ruxolitinib,Hidradenitis Suppurativa,True,reported RA investigation (not approved)
S-ruxolitinib,Histiocytosis,True,reported RA investigation (not approved)
S-ruxolitinib,Hodgkin Disease,True,reported RA investigation (not approved)
S-ruxolitinib,Hypereosinophilic Syndrome,True,reported RA investigation (not approved)
S-ruxolitinib,Inflammatory Breast Neoplasms,True,reported RA investigation (not approved)
S-ruxolitinib,Leukemia,True,reported RA investigation (not approved)
S-ruxolitinib,"Leukemia, Biphenotypic, Acute",True,reported RA investigation (not approved)
S-ruxolitinib,"Leukemia, Large Granular Lymphocytic",True,reported RA investigation (not approved)
S-ruxolitinib,"Leukemia, Lymphocytic, Chronic, B-Cell",True,reported RA investigation (not approved)
S-ruxolitinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",True,reported RA investigation (not approved)
S-ruxolitinib,"Leukemia, Myeloid, Acute",True,reported RA investigation (not approved)
S-ruxolitinib,Lichen Planus,True,reported RA investigation (not approved)
S-ruxolitinib,Lichen Sclerosus et Atrophicus,True,reported RA investigation (not approved)
S-ruxolitinib,Lung Neoplasms,True,reported RA investigation (not approved)
S-ruxolitinib,"Lupus Erythematosus, Discoid",True,reported RA investigation (not approved)
S-ruxolitinib,"Lymphohistiocytosis, Hemophagocytic",True,reported RA investigation (not approved)
S-ruxolitinib,Lymphoma,True,reported RA investigation (not approved)
S-ruxolitinib,"Lymphoma, Non-Hodgkin",True,reported RA investigation (not approved)
S-ruxolitinib,Macrophage Activation Syndrome,True,reported RA investigation (not approved)
S-ruxolitinib,Malignant Atrophic Papulosis,True,reported RA investigation (not approved)
S-ruxolitinib,Multiple Myeloma,True,reported RA investigation (not approved)
S-ruxolitinib,Myeloproliferative Disorders,True,reported RA investigation (not approved)
S-ruxolitinib,Necrobiosis Lipoidica,True,reported RA investigation (not approved)
S-ruxolitinib,Neoplasms,True,reported RA investigation (not approved)
S-ruxolitinib,Neuromyelitis Optica,True,reported RA investigation (not approved)
S-ruxolitinib,Pancreatic Neoplasms,True,reported RA investigation (not approved)
S-ruxolitinib,Paraganglioma,True,reported RA investigation (not approved)
S-ruxolitinib,Pneumonia,True,reported RA investigation (not approved)
S-ruxolitinib,Polycythemia Vera,True,reported RA investigation (not approved)
S-ruxolitinib,Precursor Cell Lymphoblastic Leukemia-Lymphoma,True,reported RA investigation (not approved)
S-ruxolitinib,Primary Immunodeficiency Diseases,True,reported RA investigation (not approved)
S-ruxolitinib,Primary Myelofibrosis,True,reported RA investigation (not approved)
S-ruxolitinib,"Prostatic Neoplasms, Castration-Resistant",True,reported RA investigation (not approved)
S-ruxolitinib,Prurigo,True,reported RA investigation (not approved)
S-ruxolitinib,Psoriasis,True,reported RA investigation (not approved)
S-ruxolitinib,Severe Acute Respiratory Syndrome,True,reported RA investigation (not approved)
S-ruxolitinib,"Thrombocythemia, Essential",True,reported RA investigation (not approved)
S-ruxolitinib,Uveal Melanoma,True,reported RA investigation (not approved)
S-ruxolitinib,Vitiligo,True,reported RA investigation (not approved)
S-ruxolitinib,beta-Thalassemia,True,reported RA investigation (not approved)
SC-12267,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
SC-12267,"Cholangitis, Sclerosing",True,reported RA investigation (not approved)
SC-12267,"Colitis, Ulcerative",True,reported RA investigation (not approved)
SC-12267,Inflammatory Bowel Diseases,True,reported RA investigation (not approved)
SC-12267,Multiple Sclerosis,True,reported RA investigation (not approved)
SC-12267,"Multiple Sclerosis, Relapsing-Remitting",True,reported RA investigation (not approved)
SC-12267,Severe Acute Respiratory Syndrome,True,reported RA investigation (not approved)
TAK-715,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
abatacept,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
abatacept,rheumatoid arthritis,False,out-of-pool (inert for the filter)
abbv-257,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
abbv-257,rheumatoid arthritis,False,out-of-pool (inert for the filter)
abbv-3373,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
abbv-3373,rheumatoid arthritis,False,out-of-pool (inert for the filter)
ac-430,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
ac-430,rheumatoid arthritis,False,out-of-pool (inert for the filter)
acacia,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
acacia,rheumatoid arthritis,False,out-of-pool (inert for the filter)
acalabrutinib,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
acalabrutinib,rheumatoid arthritis,False,out-of-pool (inert for the filter)
aceclofenac,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
aceclofenac,rheumatoid arthritis,False,out-of-pool (inert for the filter)
adalimumab,Arthritis,False,out-of-pool (inert for the filter)
adalimumab,"Arthritis, Juvenile",False,out-of-pool (inert for the filter)
adalimumab,"Arthritis, Psoriatic",False,out-of-pool (inert for the filter)
adalimumab,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
adalimumab,Asthma,False,out-of-pool (inert for the filter)
adalimumab,Behcet Syndrome,False,out-of-pool (inert for the filter)
adalimumab,Bursitis,False,out-of-pool (inert for the filter)
adalimumab,Choroidal Neovascularization,False,out-of-pool (inert for the filter)
adalimumab,Colitis,False,out-of-pool (inert for the filter)
adalimumab,"Colitis, Ulcerative",False,out-of-pool (inert for the filter)
adalimumab,Crohn Disease,False,out-of-pool (inert for the filter)
adalimumab,"Cystitis, Interstitial",False,out-of-pool (inert for the filter)
adalimumab,Dupuytren Contracture,False,out-of-pool (inert for the filter)
adalimumab,Giant Cell Arteritis,False,out-of-pool (inert for the filter)
adalimumab,"Glomerulosclerosis, Focal Segmental",False,out-of-pool (inert for the filter)
adalimumab,Hidradenitis Suppurativa,False,out-of-pool (inert for the filter)
adalimumab,Immune System Diseases,False,out-of-pool (inert for the filter)
adalimumab,Inflammation,False,out-of-pool (inert for the filter)
adalimumab,Inflammatory Bowel Diseases,False,out-of-pool (inert for the filter)
adalimumab,Macular Degeneration,False,out-of-pool (inert for the filter)
adalimumab,Mucopolysaccharidosis II,False,out-of-pool (inert for the filter)
adalimumab,Mucopolysaccharidosis VI,False,out-of-pool (inert for the filter)
adalimumab,Netherton Syndrome,False,out-of-pool (inert for the filter)
adalimumab,Osteoarthritis,False,out-of-pool (inert for the filter)
adalimumab,"Osteoarthritis, Knee",False,out-of-pool (inert for the filter)
adalimumab,Prostatic Hyperplasia,False,out-of-pool (inert for the filter)
adalimumab,Psoriasis,False,out-of-pool (inert for the filter)
adalimumab,Pyoderma,False,out-of-pool (inert for the filter)
adalimumab,Sarcoidosis,False,out-of-pool (inert for the filter)
adalimumab,Sciatica,False,out-of-pool (inert for the filter)
adalimumab,Severe Acute Respiratory Syndrome,False,out-of-pool (inert for the filter)
adalimumab,Spondylarthropathies,False,out-of-pool (inert for the filter)
adalimumab,"Spondylitis, Ankylosing",False,out-of-pool (inert for the filter)
adalimumab,Thyroid Neoplasms,False,out-of-pool (inert for the filter)
adalimumab,Uveitis,False,out-of-pool (inert for the filter)
adalimumab,rheumatoid arthritis,False,out-of-pool (inert for the filter)
adalimumab fosimdesonide,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
adalimumab fosimdesonide,rheumatoid arthritis,False,out-of-pool (inert for the filter)
adl-5859,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
adl-5859,rheumatoid arthritis,False,out-of-pool (inert for the filter)
ak-106,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
ak-106,rheumatoid arthritis,False,out-of-pool (inert for the filter)
alemtuzumab,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
alemtuzumab,rheumatoid arthritis,False,out-of-pool (inert for the filter)
amelubant,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
amelubant,rheumatoid arthritis,False,out-of-pool (inert for the filter)
amg-108,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
amg-108,rheumatoid arthritis,False,out-of-pool (inert for the filter)
aminopterin,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
aminopterin,rheumatoid arthritis,False,out-of-pool (inert for the filter)
amp-110,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
amp-110,rheumatoid arthritis,False,out-of-pool (inert for the filter)
anakinra,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
anakinra,rheumatoid arthritis,False,out-of-pool (inert for the filter)
andecaliximab,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
andecaliximab,rheumatoid arthritis,False,out-of-pool (inert for the filter)
anifrolumab,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
anifrolumab,rheumatoid arthritis,False,out-of-pool (inert for the filter)
apilimod mesylate,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
apilimod mesylate,rheumatoid arthritis,False,out-of-pool (inert for the filter)
apratastat,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
apratastat,rheumatoid arthritis,False,out-of-pool (inert for the filter)
apremilast,Acne Vulgaris,True,reported RA investigation (not approved)
apremilast,Alcoholism,True,reported RA investigation (not approved)
apremilast,"Arthritis, Psoriatic",True,reported RA investigation (not approved)
apremilast,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
apremilast,Behcet Syndrome,True,reported RA investigation (not approved)
apremilast,"Colitis, Ulcerative",True,reported RA investigation (not approved)
apremilast,Dermatitis,True,reported RA investigation (not approved)
apremilast,"Dermatitis, Allergic Contact",True,reported RA investigation (not approved)
apremilast,"Dermatitis, Atopic",True,reported RA investigation (not approved)
apremilast,Dermatomyositis,True,reported RA investigation (not approved)
apremilast,Eczema,True,reported RA investigation (not approved)
apremilast,Erythema Multiforme,True,reported RA investigation (not approved)
apremilast,Gout,True,reported RA investigation (not approved)
apremilast,Hidradenitis Suppurativa,True,reported RA investigation (not approved)
apremilast,Immune System Diseases,True,reported RA investigation (not approved)
apremilast,"Influenza, Human",True,reported RA investigation (not approved)
apremilast,Lichen Planus,True,reported RA investigation (not approved)
apremilast,"Lichen Planus, Oral",True,reported RA investigation (not approved)
apremilast,"Lupus Erythematosus, Discoid",True,reported RA investigation (not approved)
apremilast,Oral Ulcer,True,reported RA investigation (not approved)
apremilast,Pneumonia,True,reported RA investigation (not approved)
apremilast,Prostatitis,True,reported RA investigation (not approved)
apremilast,Psoriasis,True,reported RA investigation (not approved)
apremilast,Rosacea,True,reported RA investigation (not approved)
apremilast,Severe Acute Respiratory Syndrome,True,reported RA investigation (not approved)
apremilast,"Spondylitis, Ankylosing",True,reported RA investigation (not approved)
apremilast,Uveitis,True,reported RA investigation (not approved)
apremilast,Vitiligo,True,reported RA investigation (not approved)
arginine,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
arginine,rheumatoid arthritis,False,out-of-pool (inert for the filter)
arry-797,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
arry-797,rheumatoid arthritis,False,out-of-pool (inert for the filter)
ask-8007,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
ask-8007,rheumatoid arthritis,False,out-of-pool (inert for the filter)
atacicept,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
atacicept,rheumatoid arthritis,False,out-of-pool (inert for the filter)
atorvastatin,Acute Chest Syndrome,True,reported RA investigation (not approved)
atorvastatin,Acute Coronary Syndrome,True,reported RA investigation (not approved)
atorvastatin,Acute Kidney Injury,True,reported RA investigation (not approved)
atorvastatin,Alzheimer Disease,True,reported RA investigation (not approved)
atorvastatin,"Anemia, Sickle Cell",True,reported RA investigation (not approved)
atorvastatin,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
atorvastatin,Asthma,True,reported RA investigation (not approved)
atorvastatin,Atherosclerosis,True,reported RA investigation (not approved)
atorvastatin,Atrial Fibrillation,True,reported RA investigation (not approved)
atorvastatin,Bicuspid Aortic Valve Disease,True,reported RA investigation (not approved)
atorvastatin,Breast Neoplasms,True,reported RA investigation (not approved)
atorvastatin,"Carcinoma, Renal Cell",True,reported RA investigation (not approved)
atorvastatin,Cardiomyopathies,True,reported RA investigation (not approved)
atorvastatin,"Cardiomyopathy, Hypertrophic",True,reported RA investigation (not approved)
atorvastatin,Cardiovascular Diseases,True,reported RA investigation (not approved)
atorvastatin,Carotid Artery Diseases,True,reported RA investigation (not approved)
atorvastatin,Chagas Disease,True,reported RA investigation (not approved)
atorvastatin,Cognitive Dysfunction,True,reported RA investigation (not approved)
atorvastatin,Colorectal Neoplasms,True,reported RA investigation (not approved)
atorvastatin,"Colorectal Neoplasms, Hereditary Nonpolyposis",True,reported RA investigation (not approved)
atorvastatin,"Constriction, Pathologic",True,reported RA investigation (not approved)
atorvastatin,Coronary Artery Disease,True,reported RA investigation (not approved)
atorvastatin,Coronary Disease,True,reported RA investigation (not approved)
atorvastatin,Crohn Disease,True,reported RA investigation (not approved)
atorvastatin,Depressive Disorder,True,reported RA investigation (not approved)
atorvastatin,Diabetes Insipidus,True,reported RA investigation (not approved)
atorvastatin,Diabetes Mellitus,True,reported RA investigation (not approved)
atorvastatin,"Diabetes Mellitus, Type 1",True,reported RA investigation (not approved)
atorvastatin,"Diabetes Mellitus, Type 2",True,reported RA investigation (not approved)
atorvastatin,"Edema, Cardiac",True,reported RA investigation (not approved)
atorvastatin,Endometrial Neoplasms,True,reported RA investigation (not approved)
atorvastatin,Epilepsy,True,reported RA investigation (not approved)
atorvastatin,Essential Hypertension,True,reported RA investigation (not approved)
atorvastatin,Glioblastoma,True,reported RA investigation (not approved)
atorvastatin,"Glomerulosclerosis, Focal Segmental",True,reported RA investigation (not approved)
atorvastatin,Graves Ophthalmopathy,True,reported RA investigation (not approved)
atorvastatin,HIV Infections,True,reported RA investigation (not approved)
atorvastatin,Heart Failure,True,reported RA investigation (not approved)
atorvastatin,"Hematoma, Subdural, Intracranial",True,reported RA investigation (not approved)
atorvastatin,"Hemorrhagic Fever, Ebola",True,reported RA investigation (not approved)
atorvastatin,Hepatitis C,True,reported RA investigation (not approved)
atorvastatin,Hypercholesterolemia,True,reported RA investigation (not approved)
atorvastatin,"Hyperlipidemia, Familial Combined",True,reported RA investigation (not approved)
atorvastatin,Hyperlipidemias,True,reported RA investigation (not approved)
atorvastatin,Hyperlipoproteinemia Type II,True,reported RA investigation (not approved)
atorvastatin,Hyperlipoproteinemia Type III,True,reported RA investigation (not approved)
atorvastatin,Hyperlipoproteinemia Type IV,True,reported RA investigation (not approved)
atorvastatin,Hypertension,True,reported RA investigation (not approved)
atorvastatin,"Hypertension, Pulmonary",True,reported RA investigation (not approved)
atorvastatin,Hypertriglyceridemia,True,reported RA investigation (not approved)
atorvastatin,Inflammatory Bowel Diseases,True,reported RA investigation (not approved)
atorvastatin,Inflammatory Breast Neoplasms,True,reported RA investigation (not approved)
atorvastatin,"Influenza, Human",True,reported RA investigation (not approved)
atorvastatin,Intracranial Aneurysm,True,reported RA investigation (not approved)
atorvastatin,Ischemic Stroke,True,reported RA investigation (not approved)
atorvastatin,Kidney Diseases,True,reported RA investigation (not approved)
atorvastatin,Kidney Neoplasms,True,reported RA investigation (not approved)
atorvastatin,Leukemia,True,reported RA investigation (not approved)
atorvastatin,"Leukemia, Myeloid, Acute",True,reported RA investigation (not approved)
atorvastatin,Lipid Metabolism Disorders,True,reported RA investigation (not approved)
atorvastatin,Liver Cirrhosis,True,reported RA investigation (not approved)
atorvastatin,"Lupus Erythematosus, Systemic",True,reported RA investigation (not approved)
atorvastatin,Lymphoma,True,reported RA investigation (not approved)
atorvastatin,"Lymphoma, Non-Hodgkin",True,reported RA investigation (not approved)
atorvastatin,Macular Degeneration,True,reported RA investigation (not approved)
atorvastatin,Melanoma,True,reported RA investigation (not approved)
atorvastatin,Metabolic Syndrome,True,reported RA investigation (not approved)
atorvastatin,Migraine Disorders,True,reported RA investigation (not approved)
atorvastatin,Mucocutaneous Lymph Node Syndrome,True,reported RA investigation (not approved)
atorvastatin,Multiple Myeloma,True,reported RA investigation (not approved)
atorvastatin,Multiple Sclerosis,True,reported RA investigation (not approved)
atorvastatin,"Multiple Sclerosis, Relapsing-Remitting",True,reported RA investigation (not approved)
atorvastatin,Myelodysplastic Syndromes,True,reported RA investigation (not approved)
atorvastatin,Myocardial Infarction,True,reported RA investigation (not approved)
atorvastatin,Nasopharyngeal Carcinoma,True,reported RA investigation (not approved)
atorvastatin,Necrosis,True,reported RA investigation (not approved)
atorvastatin,Neoplasms,True,reported RA investigation (not approved)
atorvastatin,Nephrotic Syndrome,True,reported RA investigation (not approved)
atorvastatin,Non-alcoholic Fatty Liver Disease,True,reported RA investigation (not approved)
atorvastatin,Obesity,True,reported RA investigation (not approved)
atorvastatin,"Osteoarthritis, Knee",True,reported RA investigation (not approved)
atorvastatin,Osteonecrosis,True,reported RA investigation (not approved)
atorvastatin,Paraplegia,True,reported RA investigation (not approved)
atorvastatin,Periodontitis,True,reported RA investigation (not approved)
atorvastatin,Pre-Eclampsia,True,reported RA investigation (not approved)
atorvastatin,Prostatic Neoplasms,True,reported RA investigation (not approved)
atorvastatin,"Prostatic Neoplasms, Castration-Resistant",True,reported RA investigation (not approved)
atorvastatin,Psoriasis,True,reported RA investigation (not approved)
atorvastatin,"Purpura, Thrombocytopenic, Idiopathic",True,reported RA investigation (not approved)
atorvastatin,Renal Insufficiency,True,reported RA investigation (not approved)
atorvastatin,"Renal Insufficiency, Chronic",True,reported RA investigation (not approved)
atorvastatin,ST Elevation Myocardial Infarction,True,reported RA investigation (not approved)
atorvastatin,Sarcoidosis,True,reported RA investigation (not approved)
atorvastatin,"Scleroderma, Localized",True,reported RA investigation (not approved)
atorvastatin,Sepsis,True,reported RA investigation (not approved)
atorvastatin,Severe Acute Respiratory Syndrome,True,reported RA investigation (not approved)
atorvastatin,"Sleep Apnea, Obstructive",True,reported RA investigation (not approved)
atorvastatin,Sleep Wake Disorders,True,reported RA investigation (not approved)
atorvastatin,Stroke,True,reported RA investigation (not approved)
atorvastatin,Tuberculosis,True,reported RA investigation (not approved)
atorvastatin,Vascular Diseases,True,reported RA investigation (not approved)
atorvastatin,Venous Thromboembolism,True,reported RA investigation (not approved)
atorvastatin,Vitiligo,True,reported RA investigation (not approved)
auranofin,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
auranofin,rheumatoid arthritis,False,out-of-pool (inert for the filter)
azathioprine,"Anemia, Sickle Cell",True,known hit (approved)
azathioprine,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,True,known hit (approved)
azathioprine,"Arthritis, Rheumatoid",True,known hit (approved)
azathioprine,"Carcinoma, Hepatocellular",True,known hit (approved)
azathioprine,Cardiomyopathies,True,known hit (approved)
azathioprine,Churg-Strauss Syndrome,True,known hit (approved)
azathioprine,"Colitis, Ulcerative",True,known hit (approved)
azathioprine,Crohn Disease,True,known hit (approved)
azathioprine,Delayed Graft Function,True,known hit (approved)
azathioprine,Dermatitis,True,known hit (approved)
azathioprine,Eczema,True,known hit (approved)
azathioprine,Encephalomyelitis,True,known hit (approved)
azathioprine,"Glomerulonephritis, IGA",True,known hit (approved)
azathioprine,Gout,True,known hit (approved)
azathioprine,Granulomatosis with Polyangiitis,True,known hit (approved)
azathioprine,"Hepatitis, Autoimmune",True,known hit (approved)
azathioprine,Idiopathic Pulmonary Fibrosis,True,known hit (approved)
azathioprine,Immune System Diseases,True,known hit (approved)
azathioprine,Infertility,True,known hit (approved)
azathioprine,Inflammatory Bowel Diseases,True,known hit (approved)
azathioprine,Kidney Diseases,True,known hit (approved)
azathioprine,"Leukemia, Myeloid, Acute",True,known hit (approved)
azathioprine,Lung Diseases,True,known hit (approved)
azathioprine,"Lung Diseases, Interstitial",True,known hit (approved)
azathioprine,"Lupus Erythematosus, Systemic",True,known hit (approved)
azathioprine,Lupus Nephritis,True,known hit (approved)
azathioprine,Microscopic Polyangiitis,True,known hit (approved)
azathioprine,Mucopolysaccharidoses,True,known hit (approved)
azathioprine,Myasthenia Gravis,True,known hit (approved)
azathioprine,Myelodysplastic Syndromes,True,known hit (approved)
azathioprine,Neuromyelitis Optica,True,known hit (approved)
azathioprine,"Pemphigoid, Bullous",True,known hit (approved)
azathioprine,Pemphigus,True,known hit (approved)
azathioprine,Precursor Cell Lymphoblastic Leukemia-Lymphoma,True,known hit (approved)
azathioprine,Pulmonary Fibrosis,True,known hit (approved)
azathioprine,"Renal Insufficiency, Chronic",True,known hit (approved)
azathioprine,Takayasu Arteritis,True,known hit (approved)
azathioprine,Thrombocytopenia,True,known hit (approved)
azathioprine,Urticaria,True,known hit (approved)
azathioprine,Vasculitis,True,known hit (approved)
azathioprine,rheumatoid arthritis,True,known hit (approved)
azd5672,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
azd5672,rheumatoid arthritis,False,out-of-pool (inert for the filter)
azd9056,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
azd9056,rheumatoid arthritis,False,out-of-pool (inert for the filter)
baminercept,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
baminercept,rheumatoid arthritis,False,out-of-pool (inert for the filter)
baricitinib,Alopecia Areata,True,known hit (approved)
baricitinib,"Arthritis, Juvenile",True,known hit (approved)
baricitinib,"Arthritis, Rheumatoid",True,known hit (approved)
baricitinib,Brain Injuries,True,known hit (approved)
baricitinib,Bronchiolitis Obliterans Syndrome,True,known hit (approved)
baricitinib,"Dermatitis, Allergic Contact",True,known hit (approved)
baricitinib,"Dermatitis, Atopic",True,known hit (approved)
baricitinib,Dermatomyositis,True,known hit (approved)
baricitinib,"Diabetes Mellitus, Type 1",True,known hit (approved)
baricitinib,Diabetic Nephropathies,True,known hit (approved)
baricitinib,Giant Cell Arteritis,True,known hit (approved)
baricitinib,Graft vs Host Disease,True,known hit (approved)
baricitinib,HIV Infections,True,known hit (approved)
baricitinib,"Influenza, Human",True,known hit (approved)
baricitinib,Lichen Planus,True,known hit (approved)
baricitinib,"Liver Cirrhosis, Biliary",True,known hit (approved)
baricitinib,"Lupus Erythematosus, Systemic",True,known hit (approved)
baricitinib,Mastitis,True,known hit (approved)
baricitinib,Myalgia,True,known hit (approved)
baricitinib,Myositis,True,known hit (approved)
baricitinib,Neuromyelitis Optica,True,known hit (approved)
baricitinib,Pneumonia,True,known hit (approved)
baricitinib,Psoriasis,True,known hit (approved)
baricitinib,"Purpura, Thrombocytopenic, Idiopathic",True,known hit (approved)
baricitinib,"Renal Insufficiency, Chronic",True,known hit (approved)
baricitinib,Sepsis,True,known hit (approved)
baricitinib,Severe Acute Respiratory Syndrome,True,known hit (approved)
baricitinib,Sjogren's Syndrome,True,known hit (approved)
baricitinib,Subarachnoid Hemorrhage,True,known hit (approved)
baricitinib,Uveitis,True,known hit (approved)
baricitinib,Vitiligo,True,known hit (approved)
baricitinib,rheumatoid arthritis,True,known hit (approved)
belatacept,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
belatacept,rheumatoid arthritis,False,out-of-pool (inert for the filter)
belimumab,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
belimumab,rheumatoid arthritis,False,out-of-pool (inert for the filter)
bevifimod,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
bevifimod,rheumatoid arthritis,False,out-of-pool (inert for the filter)
bezisterim,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
bezisterim,rheumatoid arthritis,False,out-of-pool (inert for the filter)
biib-023,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
biib-023,rheumatoid arthritis,False,out-of-pool (inert for the filter)
bimekizumab,"Arthritis, Rheumatoid",False,out-of-pool (inert for the filter)
bimekizumab,rheumatoid arthritis,False,out-of-pool (inert for the filter)
binimetinib,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
binimetinib,Biliary Tract Neoplasms,True,reported RA investigation (not approved)
binimetinib,Brain Neoplasms,True,reported RA investigation (not approved)
binimetinib,Breast Neoplasms,True,reported RA investigation (not approved)
binimetinib,"Carcinoma, Non-Small-Cell Lung",True,reported RA investigation (not approved)
